Training features,Precision 1,Precision 3,Precision 6,Precision macro avg
MPDC,0.5,0.5,0.57,0.52
APCPS,0.5,0.5,0.63,0.54
PD,0,0.41,0.46,0.29
Entropy,0,0.41,0.46,0.29
TTP,0.57,0.59,0.71,0.62
PST,1,0.43,0,0.48
MPDC/APCPS,0.43,0.5,0.58,0.5
MPDC/PD,0.6,0.56,0.54,0.57
MPDC/Entropy,0.6,0.52,0.52,0.54
MPDC/TTP,0.71,0.62,0.73,0.69
MPDC/PST,0.5,0.55,0.76,0.6
APCPS/PD,0.6,0.55,0.52,0.56
APCPS/Entropy,0.6,0.55,0.52,0.56
APCPS/TTP,0.71,0.6,0.71,0.68
APCPS/PST,0.6,0.55,0.81,0.65
PD/Entropy,0,0.41,0.45,0.29
PD/TTP,0.67,0.61,0.7,0.66
PD/PST,1,0.44,0.46,0.63
Entropy/TTP,0.67,0.61,0.7,0.66
Entropy/PST,1,0.44,0.42,0.62
TTP/PST,0.7,0.65,0.77,0.71
MPDC/APCPS/PD,0.6,0.53,0.54,0.56
MPDC/APCPS/Entropy,0.5,0.45,0.54,0.49
MPDC/APCPS/TTP,0.71,0.62,0.77,0.7
MPDC/APCPS/PST,0.5,0.54,0.68,0.57
MPDC/PD/Entropy,0.6,0.58,0.56,0.58
MPDC/PD/TTP,0.75,0.65,0.71,0.7
MPDC/PD/PST,0.6,0.58,0.68,0.62
MPDC/Entropy/TTP,0.75,0.67,0.71,0.71
MPDC/Entropy/PST,0.5,0.57,0.68,0.58
MPDC/TTP/PST,0.62,0.6,0.8,0.68
APCPS/PD/Entropy,0.6,0.56,0.54,0.57
APCPS/PD/TTP,0.75,0.67,0.72,0.71
APCPS/PD/PST,0.6,0.57,0.67,0.61
APCPS/Entropy/TTP,0.75,0.65,0.71,0.7
APCPS/Entropy/PST,0.6,0.57,0.65,0.61
APCPS/TTP/PST,0.62,0.57,0.75,0.65
PD/Entropy/TTP,0.67,0.61,0.7,0.66
PD/Entropy/PST,1,0.43,0.44,0.62
PD/TTP/PST,0.67,0.65,0.7,0.67
Entropy/TTP/PST,0.67,0.59,0.64,0.63
MPDC/APCPS/PD/Entropy,0.6,0.55,0.56,0.57
MPDC/APCPS/PD/TTP,0.75,0.62,0.74,0.7
MPDC/APCPS/PD/PST,0.6,0.57,0.65,0.61
MPDC/APCPS/Entropy/TTP,0.75,0.62,0.74,0.7
MPDC/APCPS/Entropy/PST,0.5,0.55,0.62,0.56
MPDC/APCPS/TTP/PST,0.71,0.59,0.73,0.68
MPDC/PD/Entropy/TTP,0.75,0.67,0.72,0.71
MPDC/PD/Entropy/PST,0.5,0.57,0.7,0.59
MPDC/PD/TTP/PST,0.75,0.6,0.8,0.72
MPDC/Entropy/TTP/PST,0.67,0.6,0.84,0.7
APCPS/PD/Entropy/TTP,0.75,0.67,0.72,0.71
APCPS/PD/Entropy/PST,0.75,0.56,0.7,0.67
APCPS/PD/TTP/PST,0.75,0.64,0.77,0.72
APCPS/Entropy/TTP/PST,0.67,0.62,0.77,0.69
PD/Entropy/TTP/PST,0.75,0.64,0.73,0.7
MPDC/APCPS/PD/Entropy/TTP,0.75,0.62,0.74,0.7
MPDC/APCPS/PD/Entropy/PST,0.6,0.59,0.71,0.64
MPDC/APCPS/PD/TTP/PST,0.75,0.59,0.76,0.7
MPDC/APCPS/Entropy/TTP/PST,0.67,0.59,0.8,0.68
MPDC/PD/Entropy/TTP/PST,0.75,0.61,0.84,0.73
APCPS/PD/Entropy/TTP/PST,0.75,0.64,0.77,0.72
MPDC/APCPS/PD/Entropy/TTP/PST,0.75,0.6,0.8,0.72
