Variables de entrenamiento,precision 1,precision 3,precision 6,precision macro avg
MPDC,0.67,0.51,0.56,0.58
APCPS,0.5,0.5,0.56,0.52
PD,0,0.41,0.48,0.3
Entropy,0,0.41,0.42,0.28
TTP,0.58,0.65,0.68,0.64
PST,1,0.43,0,0.48
MPDC/APCPS,0,0.44,0.52,0.32
MPDC/PD,0.67,0.48,0.48,0.54
MPDC/Entropy,0.67,0.5,0.5,0.56
MPDC/TTP,0.62,0.64,0.68,0.65
MPDC/PST,0.75,0.51,0.64,0.63
APCPS/PD,0.67,0.5,0.5,0.56
APCPS/Entropy,0.67,0.46,0.47,0.53
APCPS/TTP,0.62,0.65,0.71,0.66
APCPS/PST,0.75,0.53,0.62,0.63
PD/Entropy,0,0.42,0.48,0.3
PD/TTP,0.69,0.74,0.67,0.7
PD/PST,1,0.45,0.48,0.64
Entropy/TTP,0.6,0.62,0.63,0.62
Entropy/PST,1,0.41,0.39,0.6
TTP/PST,0.6,0.7,0.72,0.67
MPDC/APCPS/PD,1,0.47,0.48,0.65
MPDC/APCPS/Entropy,1,0.42,0.52,0.65
MPDC/APCPS/TTP,0.58,0.62,0.68,0.63
MPDC/APCPS/PST,1,0.53,0.62,0.72
MPDC/PD/Entropy,0.67,0.5,0.5,0.56
MPDC/PD/TTP,0.73,0.73,0.69,0.72
MPDC/PD/PST,1,0.53,0.62,0.72
MPDC/Entropy/TTP,0.6,0.65,0.67,0.64
MPDC/Entropy/PST,0.75,0.52,0.58,0.61
MPDC/TTP/PST,0.6,0.62,0.73,0.65
APCPS/PD/Entropy,0.67,0.48,0.48,0.54
APCPS/PD/TTP,0.73,0.73,0.69,0.72
APCPS/PD/PST,0.75,0.53,0.65,0.64
APCPS/Entropy/TTP,0.6,0.65,0.67,0.64
APCPS/Entropy/PST,0.75,0.5,0.6,0.62
APCPS/TTP/PST,0.64,0.63,0.73,0.67
PD/Entropy/TTP,0.69,0.74,0.67,0.7
PD/Entropy/PST,1,0.44,0.46,0.63
PD/TTP/PST,0.62,0.65,0.63,0.63
Entropy/TTP/PST,0.69,0.7,0.6,0.66
MPDC/APCPS/PD/Entropy,1,0.44,0.5,0.65
MPDC/APCPS/PD/TTP,0.69,0.72,0.72,0.71
MPDC/APCPS/PD/PST,1,0.53,0.62,0.72
MPDC/APCPS/Entropy/TTP,0.6,0.64,0.68,0.64
MPDC/APCPS/Entropy/PST,1,0.53,0.58,0.7
MPDC/APCPS/TTP/PST,0.6,0.62,0.71,0.64
MPDC/PD/Entropy/TTP,0.67,0.72,0.69,0.69
MPDC/PD/Entropy/PST,0.75,0.53,0.65,0.64
MPDC/PD/TTP/PST,0.62,0.67,0.69,0.66
MPDC/Entropy/TTP/PST,0.64,0.64,0.67,0.65
APCPS/PD/Entropy/TTP,0.67,0.72,0.69,0.69
APCPS/PD/Entropy/PST,0.75,0.53,0.65,0.64
APCPS/PD/TTP/PST,0.62,0.67,0.69,0.66
APCPS/Entropy/TTP/PST,0.64,0.62,0.64,0.63
PD/Entropy/TTP/PST,0.62,0.65,0.63,0.63
MPDC/APCPS/PD/Entropy/TTP,0.69,0.72,0.72,0.71
MPDC/APCPS/PD/Entropy/PST,1,0.53,0.62,0.72
MPDC/APCPS/PD/TTP/PST,0.62,0.64,0.68,0.65
MPDC/APCPS/Entropy/TTP/PST,0.67,0.62,0.68,0.65
MPDC/PD/Entropy/TTP/PST,0.62,0.7,0.67,0.66
APCPS/PD/Entropy/TTP/PST,0.62,0.67,0.69,0.66
MPDC/APCPS/PD/Entropy/TTP/PST,0.62,0.64,0.68,0.65
